Familia,Tipo,Institucion,Promedio,Minima,Maxima,Desviación,Moda
Entretenimiento,Credito,Paypal,3.5,2.3,3.65,0.07,3.5
Entretenimiento,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Entretenimiento,Credito,Stripe,3.58,2.0,3.6,0.15,3.6
Entretenimiento,Credito,Clip,3.6,2.8,3.6,0.01,3.6
Entretenimiento,Debito,Intercam Banco,1.37,1.19,2.0,0.29,1.2
Entretenimiento,Debito,EVO,1.45,1.15,2.15,0.15,1.45
Entretenimiento,Debito,Autofin,1.53,1.38,1.6,0.13,1.6
Entretenimiento,Debito,Getnet,1.55,1.15,3.5,0.34,1.54
Entretenimiento,Debito,BBVA Bancomer,1.58,1.1,1.7,0.17,1.7
Entretenimiento,Debito,Afirme,1.58,1.1,3.15,0.35,1.8
Entretenimiento,Debito,Banregio,1.59,1.1,2.66,0.57,1.19
Entretenimiento,Debito,Inbursa,1.66,1.2,1.7,0.08,1.7
Entretenimiento,Debito,Banorte,1.69,1.1,2.3,0.28,2.0
Entretenimiento,Debito,Multiva,1.71,1.27,2.12,0.25,2.0
Entretenimiento,Debito,Fiserv,1.72,1.19,3.0,0.31,1.6
Entretenimiento,Debito,Adyen,1.83,1.55,2.1,0.39,2.1
Entretenimiento,Debito,Mifel,1.87,1.2,2.5,0.43,2.5
Entretenimiento,Debito,Ebanx,2.0,2.0,2.0,0.0,2.0
Entretenimiento,Debito,Azteca,2.06,1.38,2.5,0.41,1.6
Entretenimiento,Debito,Bzpay,2.08,1.68,2.8,0.37,2.0
Entretenimiento,Debito,Velpay,2.3,2.3,2.3,0.0,2.3
Entretenimiento,Debito,Bajío,2.32,1.14,4.0,0.59,2.7
Entretenimiento,Debito,Bansí,2.5,2.5,2.5,0.0,2.5
Entretenimiento,Debito,Mercado Pago,2.9,1.2,3.5,0.77,3.49
Entretenimiento,Debito,Smart Payment,2.95,2.95,2.95,0.0,2.95
Entretenimiento,Debito,EMS,3.23,1.6,3.95,1.06,3.95
Entretenimiento,Debito,Espiral,3.26,2.99,3.5,0.26,3.5
Entretenimiento,Debito,Pago Fácil,3.39,3.0,3.5,0.22,3.5
Entretenimiento,Debito,Pocket,3.45,1.15,3.5,0.26,3.5
Entretenimiento,Debito,PayU Digicuenta,3.46,1.8,3.5,0.16,3.5
Entretenimiento,Debito,Paypal,3.49,1.6,3.65,0.08,3.5
Entretenimiento,Debito,Cyborgbeat,3.5,3.5,3.5,0.0,3.5
Entretenimiento,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Entretenimiento,Debito,Stripe,3.58,1.2,3.6,0.16,3.6
Entretenimiento,Debito,Clip,3.6,2.8,3.6,0.01,3.6
Estacionamientos,Credito,Banregio,1.77,1.33,2.51,0.46,1.45
Estacionamientos,Credito,BBVA Bancomer,1.85,1.35,1.92,0.17,1.92
Estacionamientos,Credito,Afirme,1.85,1.3,2.4,0.78,2.4
Estacionamientos,Credito,Banorte,1.86,1.3,2.37,0.26,2.17
Estacionamientos,Credito,Multiva,1.91,1.2,1.95,0.17,1.95
Estacionamientos,Credito,EVO,1.98,1.8,2.5,0.21,1.8
Estacionamientos,Credito,Inbursa,2.02,1.57,2.2,0.26,2.2
Estacionamientos,Credito,EMS,2.23,2.23,2.23,0.0,2.23
Estacionamientos,Credito,Getnet,2.32,1.8,3.5,0.39,2.3
Estacionamientos,Credito,Bajío,2.45,1.6,2.9,0.39,2.6
Estacionamientos,Credito,Mifel,2.5,2.5,2.5,0.0,2.5
Estacionamientos,Credito,Azteca,2.5,2.5,2.5,0.0,2.5
Estacionamientos,Credito,Fiserv,2.57,2.3,2.81,0.22,2.3
Estacionamientos,Credito,PayU Digicuenta,2.86,2.2,3.5,0.53,3.5
Estacionamientos,Credito,OEL,3.3,3.0,3.5,0.27,3.5
Estacionamientos,Credito,Pocket,3.5,3.5,3.5,0.0,3.5
Estacionamientos,Credito,Stripe,3.6,3.6,3.6,0.0,3.6
Estacionamientos,Credito,Clip,3.6,3.6,3.6,0.0,3.6
Estacionamientos,Debito,EVO,1.4,1.2,1.9,0.2,1.25
Estacionamientos,Debito,Multiva,1.46,1.2,1.95,0.25,1.35
Estacionamientos,Debito,BBVA Bancomer,1.55,1.12,1.6,0.13,1.6
Estacionamientos,Debito,Banregio,1.65,1.25,2.4,0.48,1.25
Estacionamientos,Debito,Inbursa,1.69,1.5,1.75,0.09,1.75
Estacionamientos,Debito,Getnet,1.77,1.44,3.5,0.45,1.55
Estacionamientos,Debito,Banorte,1.78,1.3,2.7,0.29,1.95
Estacionamientos,Debito,Afirme,1.85,1.8,1.9,0.07,1.8
Estacionamientos,Debito,Mifel,2.17,1.5,2.5,0.58,2.5
Estacionamientos,Debito,Fiserv,2.18,1.41,2.86,0.53,2.3
Estacionamientos,Debito,EMS,2.23,2.23,2.23,0.0,2.23
Estacionamientos,Debito,Bajío,2.39,1.35,3.4,0.47,2.4
Estacionamientos,Debito,Azteca,2.47,2.4,2.5,0.05,2.5
Estacionamientos,Debito,PayU Digicuenta,2.68,2.2,3.0,0.43,3.0
Estacionamientos,Debito,OEL,3.3,3.0,3.5,0.27,3.5
Estacionamientos,Debito,Pocket,3.5,3.5,3.5,0.0,3.5
Estacionamientos,Debito,Stripe,3.6,3.6,3.6,0.0,3.6
Estacionamientos,Debito,Clip,3.6,3.6,3.6,0.0,3.6
Farmacias,Credito,Adyen,1.78,1.78,1.78,0.0,1.78
Farmacias,Credito,BBVA Bancomer,1.93,1.3,2.23,0.27,2.23
Farmacias,Credito,Banorte,1.93,1.3,2.53,0.31,1.77
Farmacias,Credito,Banregio,1.95,1.32,2.62,0.5,2.62
Farmacias,Credito,Multiva,1.95,1.3,2.77,0.34,1.88
Farmacias,Credito,Mifel,2.0,1.38,2.8,0.4,2.5
Farmacias,Credito,Getnet,2.08,1.35,3.5,0.34,1.89
Farmacias,Credito,Afirme,2.09,1.3,3.9,0.33,2.4
Farmacias,Credito,Inbursa,2.11,1.35,2.4,0.31,2.4
Farmacias,Credito,Autofin,2.23,1.98,2.6,0.17,2.35
Farmacias,Credito,EVO,2.24,1.78,3.0,0.18,2.23
Farmacias,Credito,Intercam Banco,2.36,1.61,2.95,0.34,2.3
Farmacias,Credito,Fiserv,2.38,1.85,2.86,0.25,2.48
Farmacias,Credito,Azteca,2.43,1.53,2.5,0.22,2.5
Farmacias,Credito,Bajío,2.47,1.3,4.0,0.54,2.9
Farmacias,Credito,Bzpay,2.49,2.3,2.5,0.05,2.5
Farmacias,Credito,Pago Fácil,2.9,2.9,2.9,0.0,2.9
Farmacias,Credito,Velpay,3.0,3.0,3.0,0.0,3.0
Farmacias,Credito,EMS,3.13,2.0,3.95,0.58,3.95
Farmacias,Credito,Paypal,3.31,2.84,3.65,0.31,3.42
Farmacias,Credito,Espiral,3.32,2.99,3.5,0.25,3.5
Farmacias,Credito,PayU Digicuenta,3.44,2.3,3.5,0.2,3.5
Farmacias,Credito,Pocket,3.48,1.86,3.5,0.16,3.5
Farmacias,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Farmacias,Credito,Stripe,3.6,3.6,3.6,0.0,3.6
Farmacias,Credito,Clip,3.6,3.2,3.6,0.0,3.6
Farmacias,Debito,BBVA Bancomer,1.39,1.0,1.6,0.19,1.6
Farmacias,Debito,Getnet,1.54,1.15,3.5,0.39,1.49
Farmacias,Debito,Banorte,1.56,1.0,2.2,0.27,1.4
Farmacias,Debito,Multiva,1.58,1.2,2.02,0.28,1.35
Farmacias,Debito,EVO,1.58,1.15,2.71,0.14,1.6
Farmacias,Debito,Inbursa,1.59,1.0,1.75,0.19,1.75
Farmacias,Debito,Velpay,1.59,1.3,3.0,0.69,1.3
Farmacias,Debito,Afirme,1.65,1.15,3.15,0.28,1.8
Farmacias,Debito,Banregio,1.66,1.0,2.62,0.45,2.2
Farmacias,Debito,Mifel,1.68,1.1,2.5,0.49,2.5
Farmacias,Debito,Autofin,1.85,1.5,2.3,0.36,1.6
Farmacias,Debito,Bzpay,1.86,1.4,2.3,0.18,1.8
Farmacias,Debito,Adyen,2.0,2.0,2.0,0.0,2.0
Farmacias,Debito,Fiserv,2.02,1.15,2.75,0.33,2.06
Farmacias,Debito,Intercam Banco,2.08,1.19,2.3,0.34,2.3
Farmacias,Debito,Bajío,2.27,1.03,4.0,0.63,2.7
Farmacias,Debito,Azteca,2.39,1.2,2.5,0.31,2.5
Farmacias,Debito,Pago Fácil,2.9,2.9,2.9,0.0,2.9
Farmacias,Debito,EMS,3.13,2.0,3.95,0.58,3.95
Farmacias,Debito,Pocket,3.26,1.15,3.5,0.64,3.5
Farmacias,Debito,Paypal,3.31,2.84,3.65,0.31,3.42
Farmacias,Debito,Espiral,3.32,2.99,3.5,0.25,3.5
Farmacias,Debito,PayU Digicuenta,3.37,1.99,3.5,0.28,3.5
Farmacias,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Farmacias,Debito,Stripe,3.6,3.6,3.6,0.0,3.6
Farmacias,Debito,Clip,3.6,3.2,3.6,0.0,3.6
Gasolineras,Credito,Afirme,1.13,1.01,1.25,0.07,1.09
Gasolineras,Credito,Banorte,1.15,1.0,1.25,0.07,1.15
Gasolineras,Credito,Mifel,1.21,1.0,2.5,0.25,1.0
Gasolineras,Credito,BBVA Bancomer,1.22,1.0,1.25,0.06,1.25
Gasolineras,Credito,Inbursa,1.25,1.0,1.6,0.04,1.25
Gasolineras,Credito,Autofin,1.25,1.25,1.25,0.0,1.25
Gasolineras,Credito,Multiva,1.26,1.0,2.0,0.25,1.1
Gasolineras,Credito,Bajío,1.39,1.0,3.8,0.39,1.1
Gasolineras,Credito,Banregio,1.41,1.0,2.3,0.45,1.1
Gasolineras,Credito,Intercam Banco,1.45,1.1,1.7,0.22,1.6
Gasolineras,Credito,Fiserv,2.0,1.8,3.0,0.29,1.85
Gasolineras,Credito,Getnet,2.05,1.76,3.5,0.3,1.8
Gasolineras,Credito,EVO,2.08,2.08,2.08,0.0,2.08
Gasolineras,Credito,Bzpay,2.12,2.1,2.15,0.03,2.1
Gasolineras,Credito,Azteca,2.15,1.25,2.5,0.42,2.5
Gasolineras,Credito,Smart Payment,2.2,2.2,2.2,0.0,2.2
Gasolineras,Credito,EMS,2.36,1.2,3.95,0.88,1.85
Gasolineras,Credito,Pocket,3.36,1.8,3.5,0.47,3.5
Gasolineras,Credito,PayU Digicuenta,3.5,3.5,3.5,0.0,3.5
Gasolineras,Credito,Clip,3.6,3.6,3.6,0.0,3.6
Gasolineras,Debito,Afirme,0.7,0.5,0.8,0.07,0.69
Gasolineras,Debito,Banorte,0.76,0.45,0.85,0.11,0.8
Gasolineras,Debito,BBVA Bancomer,0.77,0.45,0.8,0.06,0.8
Gasolineras,Debito,Autofin,0.8,0.8,0.8,0.0,0.8
Gasolineras,Debito,Inbursa,0.83,0.45,1.0,0.06,0.85
Gasolineras,Debito,Intercam Banco,0.9,0.8,1.1,0.17,0.8
Gasolineras,Debito,Mifel,0.91,0.45,2.5,0.36,0.8
Gasolineras,Debito,Banregio,1.02,0.45,2.3,0.51,0.65
Gasolineras,Debito,Bajío,1.03,0.5,3.8,0.51,0.55
Gasolineras,Debito,Multiva,1.11,0.5,2.75,0.46,0.8
Gasolineras,Debito,EVO,1.27,1.16,1.55,0.18,1.16
Gasolineras,Debito,Fiserv,1.4,1.15,3.0,0.38,1.15
Gasolineras,Debito,Getnet,1.56,1.15,3.5,0.37,1.15
Gasolineras,Debito,Smart Payment,1.7,1.7,1.7,0.0,1.7
Gasolineras,Debito,Azteca,1.87,0.9,2.5,0.57,2.5
Gasolineras,Debito,Bzpay,1.96,1.7,2.15,0.17,2.0
Gasolineras,Debito,EMS,2.36,1.2,3.95,0.88,1.85
Gasolineras,Debito,Pocket,3.29,1.4,3.5,0.64,3.5
Gasolineras,Debito,PayU Digicuenta,3.5,3.5,3.5,0.0,3.5
Gasolineras,Debito,Clip,3.6,3.6,3.6,0.0,3.6
Gobierno,Credito,Multiva,1.37,1.3,1.4,0.06,1.4
Gobierno,Credito,Bajío,1.53,1.05,2.5,0.32,1.3
Gobierno,Credito,Banorte,1.54,1.03,2.25,0.27,1.28
Gobierno,Credito,Mifel,1.63,1.06,2.5,0.36,1.7
Gobierno,Credito,BBVA Bancomer,1.67,1.03,1.85,0.23,1.85
Gobierno,Credito,Banregio,1.76,1.03,2.71,0.54,2.01
Gobierno,Credito,EVO,1.81,1.8,2.7,0.06,1.8
Gobierno,Credito,Afirme,1.87,1.17,2.65,0.28,2.0
Gobierno,Credito,Getnet,1.99,1.16,3.5,0.28,1.76
Gobierno,Credito,Paypal,2.02,1.97,2.2,0.1,1.97
Gobierno,Credito,Fiserv,2.04,1.79,2.5,0.23,1.8
Gobierno,Credito,Azteca,2.05,1.48,2.5,0.32,2.5
Gobierno,Credito,Inbursa,2.07,1.91,2.15,0.11,2.15
Gobierno,Credito,Xaldo,2.55,2.35,2.7,0.18,2.7
Gobierno,Credito,Velpay,3.0,3.0,3.0,0.0,3.0
Gobierno,Credito,Espiral,3.26,2.99,3.5,0.26,3.5
Gobierno,Credito,PayU Digicuenta,3.49,2.87,3.5,0.08,3.5
Gobierno,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Gobierno,Credito,Pocket,3.5,3.5,3.5,0.0,3.5
Gobierno,Credito,Stripe,3.6,3.6,3.6,0.0,3.6
Gobierno,Debito,Multiva,0.97,0.9,1.0,0.06,1.0
Gobierno,Debito,Inbursa,1.13,1.0,1.26,0.18,1.0
Gobierno,Debito,Banorte,1.15,0.75,1.95,0.26,1.01
Gobierno,Debito,Afirme,1.18,0.85,1.65,0.23,1.05
Gobierno,Debito,Bajío,1.21,0.75,2.1,0.34,0.9
Gobierno,Debito,BBVA Bancomer,1.22,0.75,1.35,0.17,1.35
Gobierno,Debito,EVO,1.3,1.15,1.9,0.07,1.3
Gobierno,Debito,Mifel,1.34,1.06,2.5,0.42,1.2
Gobierno,Debito,Getnet,1.34,1.15,3.5,0.22,1.21
Gobierno,Debito,Banregio,1.41,0.75,2.71,0.47,1.45
Gobierno,Debito,Fiserv,1.54,1.15,2.2,0.29,1.55
Gobierno,Debito,Azteca,1.65,1.11,2.0,0.24,1.5
Gobierno,Debito,Paypal,2.02,1.97,2.2,0.1,1.97
Gobierno,Debito,Xaldo,2.55,2.35,2.7,0.18,2.7
Gobierno,Debito,Velpay,3.0,3.0,3.0,0.0,3.0
Gobierno,Debito,Espiral,3.26,2.99,3.5,0.26,3.5
Gobierno,Debito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Gobierno,Debito,PayU Digicuenta,3.5,2.87,3.5,0.05,3.5
Gobierno,Debito,Pocket,3.5,3.5,3.5,0.0,3.5
Gobierno,Debito,Stripe,3.6,3.6,3.6,0.0,3.6
Hospitales,Credito,Azteca,1.82,1.53,2.5,0.38,1.53
Hospitales,Credito,Autofin,1.9,1.9,1.9,0.0,1.9
Hospitales,Credito,Banjército,1.94,1.8,2.0,0.09,2.0
Hospitales,Credito,Bzpay,1.95,1.95,1.95,0.0,1.95
Hospitales,Credito,Mifel,2.02,1.54,2.75,0.31,2.5
Hospitales,Credito,EVO,2.04,1.78,2.7,0.17,1.95
Hospitales,Credito,Bansí,2.07,1.85,2.5,0.38,1.85
Hospitales,Credito,Banorte,2.11,1.53,2.64,0.29,1.9
Hospitales,Credito,Multiva,2.11,1.6,2.97,0.36,1.95
Hospitales,Credito,Afirme,2.15,1.7,3.6,0.45,1.8
Hospitales,Credito,Getnet,2.15,1.77,3.5,0.3,2.08
Hospitales,Credito,Banregio,2.2,1.53,2.83,0.47,2.83
Hospitales,Credito,Intercam Banco,2.25,1.94,2.75,0.27,2.2
Hospitales,Credito,BBVA Bancomer,2.26,1.53,2.44,0.2,2.25
Hospitales,Credito,Inbursa,2.31,1.59,2.44,0.22,2.44
Hospitales,Credito,Fiserv,2.35,1.8,3.0,0.29,2.43
Hospitales,Credito,Bajío,2.37,1.55,4.0,0.5,2.6
Hospitales,Credito,Pocket,3.43,1.8,3.5,0.29,3.5
Hospitales,Credito,PayU Digicuenta,3.49,2.87,3.5,0.1,3.5
Hospitales,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Hospitales,Credito,Stripe,3.6,3.6,3.6,0.0,3.6
Hospitales,Credito,Clip,3.6,3.6,3.6,0.0,3.6
Hospitales,Credito,EMS,3.95,3.95,3.95,0.0,3.95
Hospitales,Debito,EVO,1.4,1.15,2.3,0.2,1.28
Hospitales,Debito,Autofin,1.6,1.6,1.6,0.0,1.6
Hospitales,Debito,Multiva,1.6,1.15,2.17,0.31,1.35
Hospitales,Debito,Azteca,1.61,1.3,2.5,0.44,1.3
Hospitales,Debito,BBVA Bancomer,1.65,1.15,1.75,0.16,1.75
Hospitales,Debito,Bzpay,1.65,1.65,1.65,0.0,1.65
Hospitales,Debito,Afirme,1.66,1.2,2.85,0.34,1.4
Hospitales,Debito,Banorte,1.67,1.15,2.25,0.3,2.0
Hospitales,Debito,Bansí,1.73,1.25,2.5,0.6,1.25
Hospitales,Debito,Intercam Banco,1.74,1.37,2.2,0.34,1.7
Hospitales,Debito,Getnet,1.74,1.15,3.5,0.34,1.6
Hospitales,Debito,Inbursa,1.79,1.25,1.9,0.17,1.9
Hospitales,Debito,Mifel,1.84,1.2,2.5,0.42,2.5
Hospitales,Debito,Banregio,1.84,1.15,2.83,0.46,2.35
Hospitales,Debito,Fiserv,1.98,1.22,3.0,0.37,2.11
Hospitales,Debito,Banjército,2.0,2.0,2.0,0.0,2.0
Hospitales,Debito,Bajío,2.15,1.2,4.0,0.6,2.4
Hospitales,Debito,Pocket,3.43,1.29,3.5,0.34,3.5
Hospitales,Debito,PayU Digicuenta,3.47,2.87,3.5,0.12,3.5
Hospitales,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Hospitales,Debito,Stripe,3.6,3.6,3.6,0.0,3.6
Hospitales,Debito,Clip,3.6,3.6,3.6,0.0,3.6
Hospitales,Debito,EMS,3.95,3.95,3.95,0.0,3.95
Hoteles,Credito,Multiva,1.96,1.67,2.82,0.34,1.67
Hoteles,Credito,EVO,2.06,1.78,2.8,0.15,2.0
Hoteles,Credito,Afirme,2.07,1.58,3.9,0.34,2.3
Hoteles,Credito,Banjército,2.09,1.75,2.81,0.42,1.8
Hoteles,Credito,Banorte,2.12,1.58,2.8,0.33,2.0
Hoteles,Credito,Mifel,2.14,1.59,2.8,0.33,2.5
Hoteles,Credito,Getnet,2.16,1.7,3.5,0.29,2.11
Hoteles,Credito,BBVA Bancomer,2.22,1.58,2.4,0.23,2.4
Hoteles,Credito,Fiserv,2.3,1.79,3.0,0.22,2.4
Hoteles,Credito,Banregio,2.31,1.58,3.15,0.61,3.15
Hoteles,Credito,Inbursa,2.34,1.61,2.4,0.13,2.4
Hoteles,Credito,Bajío,2.36,1.59,4.0,0.45,2.6
Hoteles,Credito,EMS,2.37,2.05,3.0,0.55,2.05
Hoteles,Credito,Intercam Banco,2.38,1.58,3.0,0.46,2.5
Hoteles,Credito,Azteca,2.44,2.0,2.5,0.14,2.5
Hoteles,Credito,Bansí,2.5,2.5,2.5,0.0,2.5
Hoteles,Credito,Smart Payment,2.59,2.3,2.65,0.14,2.65
Hoteles,Credito,Autofin,2.6,2.2,3.01,0.57,3.01
Hoteles,Credito,Bzpay,2.68,1.9,3.3,0.6,3.3
Hoteles,Credito,Mercado Pago,3.21,1.82,3.5,0.29,2.99
Hoteles,Credito,Espiral,3.26,2.99,3.5,0.26,3.5
Hoteles,Credito,PayU Digicuenta,3.32,2.3,3.5,0.4,3.5
Hoteles,Credito,Paypal,3.4,2.4,3.65,0.3,3.5
Hoteles,Credito,Pocket,3.44,1.79,3.5,0.25,3.5
Hoteles,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Hoteles,Credito,Stripe,3.58,1.78,3.6,0.17,3.6
Hoteles,Credito,Clip,3.6,2.8,3.6,0.01,3.6
Hoteles,Debito,EVO,1.33,1.15,2.17,0.16,1.2
Hoteles,Debito,BBVA Bancomer,1.59,1.1,1.7,0.18,1.7
Hoteles,Debito,Banorte,1.6,1.1,2.3,0.3,2.0
Hoteles,Debito,Inbursa,1.66,1.15,1.7,0.08,1.7
Hoteles,Debito,Afirme,1.68,1.1,3.15,0.33,1.5
Hoteles,Debito,Multiva,1.7,1.1,2.12,0.26,1.5
Hoteles,Debito,Getnet,1.71,1.15,3.5,0.36,1.53
Hoteles,Debito,Mifel,1.87,1.1,2.5,0.46,2.5
Hoteles,Debito,Fiserv,1.89,1.25,3.0,0.35,2.05
Hoteles,Debito,Banregio,1.91,1.1,3.15,0.61,2.5
Hoteles,Debito,Intercam Banco,1.97,1.1,2.5,0.42,2.5
Hoteles,Debito,Banjército,2.11,1.75,2.81,0.45,1.8
Hoteles,Debito,Bzpay,2.16,1.19,2.8,0.6,2.8
Hoteles,Debito,Bajío,2.17,1.1,4.0,0.53,2.4
Hoteles,Debito,Autofin,2.3,2.0,2.6,0.42,2.6
Hoteles,Debito,Smart Payment,2.32,1.28,2.65,0.58,2.65
Hoteles,Debito,Azteca,2.35,1.63,2.5,0.24,2.5
Hoteles,Debito,EMS,2.37,2.05,3.0,0.55,2.05
Hoteles,Debito,Bansí,2.5,2.5,2.5,0.0,2.5
Hoteles,Debito,Mercado Pago,2.77,1.25,3.5,0.82,1.69
Hoteles,Debito,Espiral,3.26,2.99,3.5,0.26,3.5
Hoteles,Debito,PayU Digicuenta,3.35,2.39,3.5,0.37,3.5
Hoteles,Debito,Paypal,3.4,2.4,3.65,0.3,3.5
Hoteles,Debito,Pocket,3.44,1.24,3.5,0.29,3.5
Hoteles,Debito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Hoteles,Debito,Stripe,3.58,1.78,3.6,0.17,3.6
Hoteles,Debito,Clip,3.6,2.8,3.6,0.01,3.6
Misceláneas,Credito,Banorte,0.94,0.11,2.11,0.42,0.75
Misceláneas,Credito,Banregio,1.07,0.0,2.35,0.77,2.35
Misceláneas,Credito,Multiva,1.12,0.7,2.0,0.34,0.98
Misceláneas,Credito,Afirme,1.16,0.4,1.82,0.47,1.7
Misceláneas,Credito,Mifel,1.44,0.0,2.8,0.77,2.5
Misceláneas,Credito,Azteca,1.51,0.0,2.5,0.61,1.15
Misceláneas,Credito,Bajío,1.59,0.0,2.35,0.53,1.55
Misceláneas,Credito,Bansí,1.68,1.15,2.5,0.18,1.65
Misceláneas,Credito,Autofin,1.78,0.0,1.87,0.41,1.87
Misceláneas,Credito,Adyen,1.95,1.95,1.95,0.0,1.95
Misceláneas,Credito,EVO,2.03,1.77,3.0,0.27,2.08
Misceláneas,Credito,BBVA Bancomer,2.05,0.0,2.25,0.38,2.25
Misceláneas,Credito,Getnet,2.21,1.25,3.5,0.4,2.5
Misceláneas,Credito,Fiserv,2.28,1.78,3.0,0.36,1.8
Misceláneas,Credito,Banjército,2.38,2.0,2.5,0.19,2.5
Misceláneas,Credito,Bzpay,2.46,2.0,3.3,0.4,2.0
Misceláneas,Credito,Smart Payment,2.6,2.6,2.6,0.0,2.6
Misceláneas,Credito,Inbursa,2.77,0.0,2.95,0.31,2.95
Misceláneas,Credito,Velpay,2.9,2.9,2.9,0.0,2.9
Misceláneas,Credito,Cyborgbeat,2.9,2.9,2.9,0.0,2.9
Misceláneas,Credito,EMS,2.96,1.6,3.95,0.73,3.95
Misceláneas,Credito,OEL,3.05,2.27,3.7,0.58,2.5
Misceláneas,Credito,Espiral,3.37,2.99,3.5,0.22,3.5
Misceláneas,Credito,PayU Digicuenta,3.47,2.9,3.5,0.11,3.5
Misceláneas,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Misceláneas,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Misceláneas,Credito,Pocket,3.5,1.8,3.5,0.07,3.5
Misceláneas,Credito,Stripe,3.6,3.6,3.6,0.0,3.6
Misceláneas,Credito,Clip,3.6,3.0,3.6,0.0,3.6
Misceláneas,Credito,Paypal,3.65,3.65,3.65,0.0,3.65
Misceláneas,Debito,Banregio,1.02,0.0,2.15,0.62,0.45
Misceláneas,Debito,Bansí,1.31,1.15,2.5,0.22,1.27
Misceláneas,Debito,Mifel,1.36,0.0,2.5,0.73,2.5
Misceláneas,Debito,Azteca,1.43,0.0,2.5,0.64,1.03
Misceláneas,Debito,EVO,1.47,1.15,2.59,0.16,1.4
Misceláneas,Debito,Getnet,1.75,1.15,3.5,0.5,1.3
Misceláneas,Debito,Bzpay,2.03,1.15,2.85,0.55,1.9
Misceláneas,Debito,Velpay,2.1,1.3,2.9,1.13,2.9
Misceláneas,Debito,Fiserv,2.2,1.15,3.0,0.47,2.6
Misceláneas,Debito,Inbursa,2.23,0.0,2.4,0.29,2.4
Misceláneas,Debito,Adyen,2.33,2.33,2.33,0.0,2.33
Misceláneas,Debito,Smart Payment,2.6,2.6,2.6,0.0,2.6
Misceláneas,Debito,Cyborgbeat,2.9,2.9,2.9,0.0,2.9
Misceláneas,Debito,EMS,2.97,1.6,3.95,0.73,3.95
Misceláneas,Debito,OEL,3.31,2.5,3.7,0.48,2.5
Misceláneas,Debito,Espiral,3.37,2.99,3.5,0.22,3.5
Misceláneas,Debito,Pocket,3.47,1.15,3.5,0.25,3.5
Misceláneas,Debito,PayU Digicuenta,3.48,2.9,3.5,0.11,3.5
Misceláneas,Debito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Misceláneas,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Misceláneas,Debito,Stripe,3.6,3.6,3.6,0.0,3.6
Misceláneas,Debito,Clip,3.6,3.0,3.6,0.0,3.6
Misceláneas,Debito,Paypal,3.65,3.65,3.65,0.0,3.65
Médicos y dentistas,Credito,Banregio,1.16,0.03,2.3,0.85,2.3
Médicos y dentistas,Credito,Multiva,1.2,0.7,1.85,0.33,0.98
Médicos y dentistas,Credito,Banorte,1.24,0.0,2.38,0.63,0.75
Médicos y dentistas,Credito,BBVA Bancomer,1.25,0.0,1.95,0.17,1.2
Médicos y dentistas,Credito,Afirme,1.4,0.49,1.8,0.43,1.7
Médicos y dentistas,Credito,Mifel,1.74,0.0,2.8,0.62,1.95
Médicos y dentistas,Credito,Banjército,1.84,1.26,2.0,0.23,2.0
Médicos y dentistas,Credito,Autofin,1.96,1.8,2.0,0.06,2.0
Médicos y dentistas,Credito,EVO,2.14,1.76,3.0,0.33,2.08
Médicos y dentistas,Credito,Bajío,2.22,0.0,2.6,0.39,2.6
Médicos y dentistas,Credito,Bzpay,2.27,1.8,2.9,0.35,1.98
Médicos y dentistas,Credito,Velpay,2.32,1.8,2.9,0.4,1.8
Médicos y dentistas,Credito,Inbursa,2.35,0.0,2.5,0.23,2.5
Médicos y dentistas,Credito,Bansí,2.41,1.15,2.5,0.3,2.5
Médicos y dentistas,Credito,Getnet,2.42,1.41,3.5,0.54,2.02
Médicos y dentistas,Credito,Azteca,2.45,0.0,2.5,0.35,2.5
Médicos y dentistas,Credito,Fiserv,2.51,1.79,3.0,0.26,2.69
Médicos y dentistas,Credito,Cyborgbeat,2.9,2.9,2.9,0.0,2.9
Médicos y dentistas,Credito,Mercado Pago,3.22,1.79,3.5,0.3,2.99
Médicos y dentistas,Credito,Espiral,3.25,2.99,3.5,0.26,3.5
Médicos y dentistas,Credito,EMS,3.27,1.99,3.95,0.78,3.95
Médicos y dentistas,Credito,PayU Digicuenta,3.47,2.0,3.5,0.16,3.5
Médicos y dentistas,Credito,Pocket,3.48,1.8,3.5,0.12,3.5
Médicos y dentistas,Credito,Paypal,3.5,2.9,3.5,0.01,3.5
Médicos y dentistas,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
